Sample_ID,Reads_In,Reads_Out,Reads_Removed,Reads_Removed_Proportion
RE_E03_132_1,59586572,39851740,19734832,0.3312
S01_219_01,81698228,78584976,3113252,0.03811
S02_220_01,55007454,54674350,333104,0.00606
RE_E02_067_2,60640046,60473566,166480,0.00275
RE_E02_069_1,13903408,13865498,37910,0.00273
S01_220_02,66704012,66542144,161868,0.00243
REP_2_069_2,57254822,57143772,111050,0.00194
S03_220_01,29519544,29496456,23088,0.00078
S01_214_01,36588680,36564598,24082,0.00066
S01_219_03,54170912,54139222,31690,0.00059
RE_E02_087_2,91890888,91858798,32090,0.00035
S01_220_01,96491390,96489082,2308,2e-05
S02_220_02,48756588,48756056,532,1e-05
